entry_time,exit_time,direction,entry_px,exit_px,pnl_pts,exit_reason
2022-03-21 09:40:00,2022-03-21 09:40:00,short,1481.9,1482.0654675453645,-1.6055,stop
2022-03-21 10:00:00,2022-03-21 10:40:00,short,1482.0,1482.25636211078,-1.6964,stop
2022-03-21 11:00:00,2022-03-21 11:10:00,short,1481.9,1481.1,-0.64,target
2022-03-21 13:30:00,2022-03-21 13:30:00,short,1484.0,1483.852197486626,-1.2922,stop
2022-03-21 13:50:00,2022-03-21 13:50:00,short,1485.6,1485.275336687335,-1.1153,stop
2022-03-21 14:10:00,2022-03-21 14:10:00,short,1489.8,1489.7353147648937,-1.3753,stop
2022-03-21 14:30:00,2022-03-21 14:30:00,short,1495.3,1495.3054053094831,-1.4454,stop
2022-03-22 10:10:00,2022-03-22 10:10:00,long,1497.3,1496.911343349316,-1.8287,stop
2022-03-22 10:30:00,2022-03-22 10:30:00,long,1495.4,1494.3675700128633,-2.4724,stop
2022-03-22 11:00:00,2022-03-22 11:15:00,long,1494.9,1497.4,1.06,target
2022-03-22 11:25:00,2022-03-22 11:30:00,short,1501.3,1501.9912333027203,-2.1312,stop
2022-03-22 13:50:00,2022-03-22 14:05:00,long,1501.9,1500.7618762272432,-2.5781,stop
2022-03-22 14:25:00,2022-03-22 14:25:00,long,1500.8,1499.312003127939,-2.928,stop
2022-03-23 09:30:00,2022-03-23 09:30:00,long,1502.3,1501.6633801849725,-2.0766,stop
2022-03-23 09:55:00,2022-03-23 10:10:00,long,1502.2,1503.2,-0.44,target
2022-03-23 10:30:00,2022-03-23 10:35:00,short,1504.5,1504.6759928138074,-1.616,stop
2022-03-23 10:55:00,2022-03-23 10:55:00,short,1509.0,1509.9490804001318,-2.3891,stop
2022-03-23 13:30:00,2022-03-23 13:30:00,long,1500.6,1501.0383825527545,-1.0016,stop
2022-03-23 13:50:00,2022-03-23 13:50:00,long,1500.2,1500.3217855727178,-1.3182,stop
2022-03-23 14:20:00,2022-03-23 14:20:00,long,1497.2,1496.4789597804627,-2.161,stop
2022-03-24 09:55:00,2022-03-24 09:55:00,short,1495.4,1496.0803847237144,-2.1204,stop
2022-03-24 10:15:00,2022-03-24 10:20:00,short,1496.6,1495.2,-0.04,target
2022-03-24 10:35:00,2022-03-24 10:50:00,long,1493.6,1492.3136244522013,-2.7264,stop
2022-03-24 14:10:00,2022-03-24 14:15:00,long,1493.0,1496.0,1.56,target
2022-03-25 09:30:00,2022-03-25 09:30:00,long,1495.0,1494.5655435372753,-1.8745,stop
2022-03-25 09:50:00,2022-03-25 09:50:00,long,1493.6,1493.682864876523,-1.3571,stop
2022-03-25 10:10:00,2022-03-25 10:15:00,long,1493.1,1492.3826859094975,-2.1573,stop
2022-03-25 10:35:00,2022-03-25 10:35:00,long,1489.9,1489.4242982837775,-1.9157,stop
2022-03-25 10:55:00,2022-03-25 11:05:00,long,1489.7,1489.1921165024416,-1.9479,stop
2022-03-25 13:30:00,2022-03-25 13:30:00,short,1494.8,1495.6396185131541,-2.2796,stop
2022-03-25 14:15:00,2022-03-25 14:20:00,short,1494.2,1492.0,0.76,target
